,SwissProt1,SwissProt2
74123,Q9UGJ0,P08107
74191,P04626,P08133
74206,P37840,P08133
74300,P49768,P08138
74316,Q16637,P08138
74317,Q16637,P08138
74318,Q16637,P08138
74414,P04626,P08195
74432,P55072,P08195
74462,Q9UGJ0,P08195
74486,P01023,P08236
74588,O60260,P08238
74589,O60260,P08238
74649,P04626,P08238
74768,P35637,P08238
74774,P37231,P08238
74775,P37840,P08238
74784,P42858,P08238
74785,P42858,P08238
74815,P55072,P08238
74965,Q5S007,P08238
74966,Q5S007,P08238
75099,Q9BXM7,P08238
75166,Q9UGJ0,P08238
75299,Q9UGJ0,P08243
75300,Q9UGJ0,P08243
75321,P28799,P08246
75337,P37840,P08247
75339,P42858,P08247
75359,P01023,P08253
75422,P01023,P08311
75727,Q16637,P08572
75728,Q16637,P08572
75729,Q16637,P08572
75766,P42858,P08574
75907,Q16637,P08579
76009,P21917,P08588
76191,Q16637,P08621
76192,Q16637,P08621
76199,Q6ZW49,P08621
76361,Q9HBA0,P08631
76362,Q9HBA0,P08631
76397,P04626,P08648
76486,O43464,P08670
76491,O60260,P08670
76630,P37840,P08670
76631,P37840,P08670
76667,P55072,P08670
76753,Q14203,P08670
76754,Q14203,P08670
76755,Q14203,P08670
76790,Q5S007,P08670
76791,Q5S007,P08670
76890,Q9BXM7,P08670
76932,Q9UGJ0,P08670
76994,P00749,P08697
77061,Q9UGJ0,P08708
77076,P35637,P08709
77078,P55072,P08709
77166,Q9UGJ0,P08727
77302,P35637,P08758
77310,P55072,P08758
77428,Q9UGJ0,P08779
77443,P01023,P08842
77609,Q13148,P08865
77618,Q5S007,P08865
77855,Q16637,P09012
77857,Q6Y7W6,P09012
77904,P42858,P09017
77916,P01023,P09038
77972,P20226,P09086
77973,P20226,P09086
77974,P20226,P09086
77996,P01023,P09104
78067,Q9UGJ0,P09104
78105,Q16637,P09132
78113,P09172,P09172
78147,P35637,P09211
78263,Q6Y7W6,P09234
78339,P55072,P09327
78475,P20226,P09429
78476,P20226,P09429
78477,P21675,P09429
78492,P49768,P09429
78564,P01023,P09466
78588,O60260,P09467
78621,P55072,P09467
78681,P42858,P09471
78682,P42858,P09471
78774,O60260,P09493
78837,Q5S007,P09493
78902,Q99497,P09496
78975,P04156,P09543
78981,P42858,P09543
78982,P42858,P09543
78996,Q5S007,P09543
79003,Q9UGJ0,P09543
79216,P35637,P09622
79220,P42858,P09622
79271,Q9UGJ0,P09622
79312,O60260,P09651
79403,P55072,P09651
79447,Q16637,P09651
79495,Q99497,P09651
79524,Q9UGJ0,P09651
79598,Q13148,P09661
79607,Q16637,P09661
79608,Q16637,P09661
79648,P42858,P09669
79649,Q5S007,P09669
79671,P04626,P09769
79672,P04626,P09769
79673,P04626,P09769
79966,Q9UGJ0,P09874
80132,O60260,P09936
80133,O60260,P09936
80263,Q9UGJ0,P09960
80289,P37840,P09972
80290,P42858,P09972
80386,P21675,P0C0S8
80387,P21675,P0C0S8
80587,O60260,P0CG47
80596,P04626,P0CG47
80606,P09936,P0CG47
80610,P10636,P0CG47
80626,P37840,P0CG47
80645,P55072,P0CG47
80819,O43464,P0CG48
80841,O60260,P0CG48
80842,O60260,P0CG48
80918,O95292,P0CG48
80949,P00441,P0CG48
80950,P00441,P0CG48
81000,P04626,P0CG48
81001,P04626,P0CG48
81093,P09936,P0CG48
81103,P10636,P0CG48
81104,P10636,P0CG48
81171,P21917,P0CG48
81229,P37231,P0CG48
81251,P42858,P0CG48
81302,P55072,P0CG48
81303,P55072,P0CG48
81352,Q01959,P0CG48
81390,Q13148,P0CG48
81478,Q30201,P0CG48
81486,Q5S007,P0CG48
81647,Q9HBA0,P0CG48
81799,Q13148,P0CW22
81926,Q16637,P0DMM9
82010,P43354,P10109
82097,P01023,P10145
82177,Q5S007,P10155
82204,P05164,P10242
82469,P55072,P10275
82652,P43354,P10276
82918,O60260,P10415
82919,O60260,P10415
82927,P00441,P10415
83026,Q16637,P10415
83147,P42858,P10515
83315,O60260,P10599
83328,P00441,P10599
83507,P42858,P10606
83556,P04626,P10620
83565,P01023,P10632
83568,P49768,P10632
83594,P04156,P10636
83606,P10636,P10636
83607,P10636,P10636
